2024-12-27 10:13:58 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'RequestServlet'
2024-12-27 10:14:01 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.4.Final}
2024-12-27 10:14:02 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2024-12-27 10:14:03 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2024-12-27 10:14:05 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-12-27 10:14:05 [main] INFO  com.task.Security.JwtService - Secret key initialized.
2024-12-27 10:14:05 [main] INFO  com.task.Service.MyUserDetailsService - My User Details Service is created Successfully!
2024-12-27 10:14:05 [main] INFO  com.task.Security.SecurityConfig - Inside Authentication Provider method!
2024-12-27 10:14:05 [main] INFO  com.task.Security.SecurityConfig - Indise configure Method for Logout!
2024-12-27 10:14:05 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@164c06a4, org.springframework.security.web.context.SecurityContextPersistenceFilter@348a2f49, org.springframework.security.web.header.HeaderWriterFilter@263b0a8d, org.springframework.security.web.authentication.logout.LogoutFilter@61a2d9ee, com.task.Security.JwtAuthenticationFilter@2a144ea0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1ed7e040, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@435932e3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67cb11de, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f78b3b2, org.springframework.security.web.session.SessionManagementFilter@20deb6f5, org.springframework.security.web.access.ExceptionTranslationFilter@794efdf, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6a9f41ff]
2024-12-27 10:14:06 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7738 ms
